text,label_binary,source
Joan of Arc became a symbol of China.,0,FEVER
Hong Kong keeps a separate economic system from China.,1,FEVER
"Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.",0,LIAR/PolitiFact
The Berlin Wall is a Chinese monument.,0,FEVER
San Francisco's Chinatown is centered away from Grant Avenue and Stockton Street.,1,FEVER
"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",0,LIAR/PolitiFact
San Francisco's Chinatown is the youngest Chinatown in North America.,0,FEVER
Taiwan is officially called the Republic of China.,1,FEVER
Says Joe Biden went to China and said that he sympathized and wouldnt second-guess their one-child policy of forced abortions and sterilizations.,0,LIAR/PolitiFact
San Francisco's Chinatown is centered away from Grant Avenue and Stockton Street.,1,FEVER
The English Civil War was a series of armed conflicts and political machinations.,1,FEVER
Taiwan is a country in East Asia.,1,FEVER
Hong Kong has a high per capita revenue.,1,FEVER
"Says Russ Feingold supported a stimulus plan that allowed a company to create 3,000 jobs in China.",0,LIAR/PolitiFact
Hong Kong is incapable of being consistently ranked as the world's most competitive entity.,0,FEVER
Taiwan is the 22nd-largest economy in the world.,1,FEVER
WeChat is a Chinese application.,1,FEVER
Taipei is the least important city of Taiwan.,0,FEVER
Xi Jinping refused to be the Vice Chairman of the Central Military Commission.,0,FEVER
Hong Kong keeps a separate political system from China.,1,FEVER
Taiwan is a state in East Asia.,1,FEVER
Princess Agents is a Chinese television series.,1,FEVER
Cars Toons is exclusively Chinese.,0,FEVER
Xi Jinping spent five years in the 1990's as Hu Jintao's presumed successor.,1,FEVER
"E-mail quotes Maureen Dowd column that Obama has received suspicious contributions from Saudi Arabia, Iran and China.",0,LIAR/PolitiFact
Taiwan has at least one place next to it in at least one direction.,1,FEVER
WeChat is an app from China.,1,FEVER
Hong Kong is incapable of being consistently ranked as the world's most freest economic entity.,0,FEVER
Fifteen out of the 20 most polluted cities in the world are in India and China.,1,LIAR/PolitiFact
Beijing is the second largest Chinese sculpture.,0,FEVER
Congresswoman Kathy Castor voted to spend $2.6 million to teach prostitutes in China to drink responsibly.,0,LIAR/PolitiFact
Taiwan entered a period of rapid economic growth and industrialization in the 1980s.,0,FEVER
Moscow is the capital of China.,0,FEVER
"Ayutthaya was friendly towards Chinese, Dutch, English, Vietnamese, Indian, Japanese, Persian, Portuguese, Spanish, and French people.",1,FEVER
South America's major languages are Chinese and Japanese.,0,FEVER
The Republic of China was recognized as China's legitimate government by Dwight D. Eisenhower.,1,FEVER
Brokeback Mountain was directed by a Taiwanese mother.,0,FEVER
Xi Jinping spent ten years as Hu Jintao's presumed successor.,0,FEVER
Nepal borders China in the north.,1,FEVER
Taiwan has at least one place next to it in at least one direction.,1,FEVER
Oz the Great and Powerful premiered only at Grauman's Chinese Theatre.,0,FEVER
Taiwan's neighbor is at least one nation.,1,FEVER
Paul Feig is Chinese.,0,FEVER
Taiwan is the 22nd-largest economy in the machine.,1,FEVER
There is an actor in China name Kris Wu.,1,FEVER
